#N=10000 sum of ti-dists depending on pacement of r on and axis
dist-from-0 ti-dist-sum-3 ti-dist-sum-4 ti-dist-sum-5
1.6600e+001 1.7179e+009 1.5641e+009 1.4222e+009
1.6700e+001 1.7176e+009 1.5638e+009 1.4220e+009
1.6800e+001 1.7174e+009 1.5636e+009 1.4219e+009
1.6900e+001 1.7171e+009 1.5634e+009 1.4217e+009
1.7000e+001 1.7168e+009 1.5632e+009 1.4215e+009
1.7100e+001 1.7165e+009 1.5629e+009 1.4213e+009
1.7200e+001 1.7162e+009 1.5627e+009 1.4211e+009
1.7300e+001 1.7159e+009 1.5625e+009 1.4210e+009
1.7400e+001 1.7157e+009 1.5623e+009 1.4208e+009
1.7500e+001 1.7154e+009 1.5621e+009 1.4206e+009
1.7600e+001 1.7151e+009 1.5619e+009 1.4204e+009
1.7700e+001 1.7149e+009 1.5616e+009 1.4203e+009
1.7800e+001 1.7146e+009 1.5614e+009 1.4201e+009
1.7900e+001 1.7144e+009 1.5612e+009 1.4199e+009
1.8000e+001 1.7141e+009 1.5610e+009 1.4198e+009
1.8100e+001 1.7139e+009 1.5608e+009 1.4196e+009
1.8200e+001 1.7136e+009 1.5606e+009 1.4195e+009
1.8300e+001 1.7134e+009 1.5604e+009 1.4193e+009
1.8400e+001 1.7131e+009 1.5603e+009 1.4191e+009
1.8500e+001 1.7129e+009 1.5601e+009 1.4190e+009
1.8600e+001 1.7126e+009 1.5599e+009 1.4188e+009
1.8700e+001 1.7124e+009 1.5597e+009 1.4187e+009
1.8800e+001 1.7122e+009 1.5595e+009 1.4185e+009
1.8900e+001 1.7119e+009 1.5593e+009 1.4184e+009
1.9000e+001 1.7117e+009 1.5591e+009 1.4182e+009
1.9100e+001 1.7115e+009 1.5590e+009 1.4181e+009
1.9200e+001 1.7113e+009 1.5588e+009 1.4179e+009
1.9300e+001 1.7110e+009 1.5586e+009 1.4178e+009
1.9400e+001 1.7108e+009 1.5584e+009 1.4177e+009
1.9500e+001 1.7106e+009 1.5583e+009 1.4175e+009
1.9600e+001 1.7104e+009 1.5581e+009 1.4174e+009
1.9700e+001 1.7102e+009 1.5579e+009 1.4172e+009
